market,manual_campaign_name,sessions_total,spend_budget,matched_campaign_strings,match_strategy,match_score
DE,PZ_Solingen,2.0,,,,
DE,PZ_Trier,2.0,,,,
DE,PZ_Villingen-Schwenningen,2.0,,,,
DE,10028541_EC_PL_SLS_ECO_ECO_BRD_GLB_NU_SEAH_PSEAC_DRT_MXED_MIXED_GAD_GADW_CPC_NU_NU_MIXD_NU_MXD_DE_AL_MXED_VMK3Direct-SEAH-AWO-Products-DE-VXD-NU-10088024,1.0,149000033.6790875,10163718_10163718_POR_ECO_BRD_ITA_T1_NU_EUR_2025-01-01_2025-12-28_LOCAL-OCS | 10163718_10163718_POR_ECO_BRD_ITA_T1_NU_EUR_2025-01-01_2025-12-28_LOCAL-OCS | 10208510_10208510_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-2025AFTERSALESSEM | 10207178_10207178_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-01_2025-02-28_LOCAL-AFTERSALESPRINT | 10208494_10208494_POR_POB_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CORPORATESEARCH,id,1.0
DE,503421,1.0,,,,
DE,DE_GER_SR-E_BI_AC_AWOP_PE_SN_BraKoAccessoires_NU_NU_AWO,1.0,53402627.608792305,10208510_10208510_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-2025AFTERSALESSEM | 10210249_10210249_POR_MAC_SUV_CAN_T1_NU_CAD_2025-03-03_2025-07-31_MACANH2I-2025PORSCHEMACAN | 10207178_10207178_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-01_2025-02-28_LOCAL-AFTERSALESPRINT | 10208503_10208503_POR_RNG_RNG_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CERTIFIEDPREOWNED | 10208494_10208494_POR_POB_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CORPORATESEARCH,id,1.0
DE,DE_GER_SR-E_GO_AC_AWOP_PE_SN_BrandPD_NU_NU_AWO,1.0,53402627.608792305,10208510_10208510_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-2025AFTERSALESSEM | 10210249_10210249_POR_MAC_SUV_CAN_T1_NU_CAD_2025-03-03_2025-07-31_MACANH2I-2025PORSCHEMACAN | 10207178_10207178_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-01_2025-02-28_LOCAL-AFTERSALESPRINT | 10208503_10208503_POR_RNG_RNG_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CERTIFIEDPREOWNED | 10208494_10208494_POR_POB_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CORPORATESEARCH,id,1.0
DE,DIET_PO_RANGE_XXX_REC_OTH_AO-SEA_23_B-MODELS-MACAN-MODELS-MACAN-BENL-ACQ-NRT,1.0,251077.27991856937,10277619_10277619_POR_EPF_BRD_DEU_T1_NU_EUR_2025-07-23_2025-09-02_LOCAL-BEVPUSH2025CAYENNESOCIALFLIGHT | 10157126_10157126_POR_EPF_BRD_GBR_T1_NU_GBP_2025-07-23_2025-09-24_LOCAL-EPERFORMANCE,id,1.0
DE,DIET_PO_RANGE_XXX_REC_OTH_AO-SEA_23_B-RANGE-PUREBRAND-BEFR-EXACT-ACQ-NRT-DEALERS-RADIUS-BRUSSELS,1.0,251077.27991856937,10277619_10277619_POR_EPF_BRD_DEU_T1_NU_EUR_2025-07-23_2025-09-02_LOCAL-BEVPUSH2025CAYENNESOCIALFLIGHT | 10157126_10157126_POR_EPF_BRD_GBR_T1_NU_GBP_2025-07-23_2025-09-24_LOCAL-EPERFORMANCE,id,1.0
DE,DIET_PO_RANGE_XXX_REC_OTH_AO-SEA_23_B-RANGE-SECONDHAND-BEFR-ACQ-NRT,1.0,251077.27991856937,10277619_10277619_POR_EPF_BRD_DEU_T1_NU_EUR_2025-07-23_2025-09-02_LOCAL-BEVPUSH2025CAYENNESOCIALFLIGHT | 10157126_10157126_POR_EPF_BRD_GBR_T1_NU_GBP_2025-07-23_2025-09-24_LOCAL-EPERFORMANCE,id,1.0
