market,market_name,campaign_name,week,model,conv,spend
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-09,taycan,0.99,2376.29
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-10,taycan,2.0,2610.37
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-11,taycan,5.0,2379.66
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-12,taycan,3.0,2413.46
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-13,taycan,3.0,2255.61
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-14,taycan,3.0,2492.05
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-15,taycan,4.0,2551.3
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-16,taycan,1.0,1775.34
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-17,taycan,5.0,1714.47
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-18,taycan,2.0,1661.62
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-19,taycan,4.0,1767.85
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-20,taycan,0.0,1784.46
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-21,taycan,2.0,1737.27
