market,model,channel,week,icc_dcfs,model_dcfs,finder_dcfs,dcfs,spend
FRANCE,911,Paid Search,2025-29,0.0,nan,nan,0.0,6.55
FRANCE,panamera,Paid Search,2025-29,2.23,nan,nan,2.23,188.11
FRANCE,cayenne,Paid Search,2025-29,1.0,nan,nan,1.0,180.11
FRANCE,macan,Paid Search,2025-30,6.17,nan,nan,6.17,144.03
FRANCE,taycan,Paid Search,2025-30,3.0,nan,nan,3.0,190.73
FRANCE,none,Paid Search,2025-30,nan,nan,nan,nan,40.67
FRANCE,911,Paid Search,2025-30,2.1100000000000003,nan,nan,2.1100000000000003,16.38
FRANCE,panamera,Paid Search,2025-30,1.0,nan,nan,1.0,72.81
FRANCE,cayenne,Paid Search,2025-30,nan,nan,nan,nan,72.87
FRANCE,taycan,Paid Search,2025-31,19.560000000000002,nan,nan,19.560000000000002,154.41
FRANCE,macan,Paid Search,2025-31,2.0,nan,nan,2.0,71.31
FRANCE,none,Paid Search,2025-31,nan,nan,nan,nan,35.8
FRANCE,911,Paid Search,2025-31,nan,nan,nan,nan,19.07
FRANCE,panamera,Paid Search,2025-31,nan,nan,nan,nan,46.61
FRANCE,cayenne,Paid Search,2025-31,nan,nan,nan,nan,43.54
FRANCE,718,Paid Search,2025-31,nan,nan,nan,nan,94.28
FRANCE,taycan,Paid Search,2025-32,27.0,nan,nan,27.0,559.49
FRANCE,macan,Paid Search,2025-32,12.44,nan,nan,12.44,559.12
FRANCE,none,Paid Search,2025-32,nan,nan,nan,nan,38.99
FRANCE,911,Paid Search,2025-32,1.5,nan,nan,1.5,32.48
FRANCE,panamera,Paid Search,2025-32,nan,nan,nan,nan,174.83
FRANCE,cayenne,Paid Search,2025-32,nan,nan,nan,nan,185.02
FRANCE,718,Paid Search,2025-32,nan,nan,nan,nan,76.99
FRANCE,taycan,Paid Search,2025-33,4.45,nan,nan,4.45,542.55
FRANCE,macan,Paid Search,2025-33,9.78,nan,nan,9.78,558.81
FRANCE,none,Paid Search,2025-33,nan,nan,nan,nan,20.34
FRANCE,911,Paid Search,2025-33,0.62,nan,nan,0.62,211.9
FRANCE,panamera,Paid Search,2025-33,1.0,nan,nan,1.0,267.74
FRANCE,cayenne,Paid Search,2025-33,2.0,nan,nan,2.0,260.38
FRANCE,718,Paid Search,2025-33,nan,nan,nan,nan,174.73
