market,market_name,campaign_name,week,model,conv,spend
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293791_COMBINATIONSTAYCAN_SEARCHADS,2026-01,taycan,3.06,1262.75
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293792_COMBINATIONSPANAMERA_SEARCHADS,2025-23,panamera,0.0,246.42
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293792_COMBINATIONSPANAMERA_SEARCHADS,2025-26,panamera,2.0,215.07
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293792_COMBINATIONSPANAMERA_SEARCHADS,2025-27,panamera,2.0,247.09
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293792_COMBINATIONSPANAMERA_SEARCHADS,2025-28,panamera,3.5,259.4
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293792_COMBINATIONSPANAMERA_SEARCHADS,2025-29,panamera,0.0,246.51
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293792_COMBINATIONSPANAMERA_SEARCHADS,2025-30,panamera,3.0,238.54
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293792_COMBINATIONSPANAMERA_SEARCHADS,2025-31,panamera,0.0,226.26
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293792_COMBINATIONSPANAMERA_SEARCHADS,2025-32,panamera,3.35,248.22
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293792_COMBINATIONSPANAMERA_SEARCHADS,2025-33,panamera,4.0,236.75
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293792_COMBINATIONSPANAMERA_SEARCHADS,2025-34,panamera,3.1,245.91
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293792_COMBINATIONSPANAMERA_SEARCHADS,2025-35,panamera,0.0,215.19
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293792_COMBINATIONSPANAMERA_SEARCHADS,2025-36,panamera,1.9,403.27
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293792_COMBINATIONSPANAMERA_SEARCHADS,2025-40,panamera,1.0,229.93
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293792_COMBINATIONSPANAMERA_SEARCHADS,2025-41,panamera,0.0,246.92
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293792_COMBINATIONSPANAMERA_SEARCHADS,2025-42,panamera,0.18,241.48
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293792_COMBINATIONSPANAMERA_SEARCHADS,2025-43,panamera,0.0,231.76
