market,channel,week,icc_dcfs,sessions,spend
UK,Paid Search,2025-47,22.0,,54591.85268072289
UK,Paid Search,2025-48,37.0,,49100.075474698795
UK,Paid Search,2025-49,20.0,,52527.284246987954
UK,Paid Search,2025-50,23.0,,52059.322771084335
UK,Paid Search,2025-51,21.0,,60841.86922168675
UK,Paid Search,2025-52,18.0,,80541.22360120484
UK,Paid Search,2026-01,18.0,,28611.930538554214
UK,Paid Social,2025-01,0.0,,0.0
UK,Paid Social,2025-02,0.0,,0.0
UK,Paid Social,2025-03,0.0,,0.0
UK,Paid Social,2025-04,0.0,,0.0
UK,Paid Social,2025-05,0.0,,0.0
UK,Paid Social,2025-06,0.0,,0.0
UK,Paid Social,2025-07,0.0,,0.0
UK,Paid Social,2025-08,0.0,,0.0
UK,Paid Social,2025-09,0.0,,0.0
UK,Paid Social,2025-10,0.0,,0.0
UK,Paid Social,2025-11,0.0,,0.0
UK,Paid Social,2025-12,0.0,,0.0
UK,Paid Social,2025-13,0.0,,0.0
UK,Paid Social,2025-14,0.0,,0.0
UK,Paid Social,2025-15,0.0,,0.0
UK,Paid Social,2025-16,0.0,,0.0
UK,Paid Social,2025-17,0.0,,0.0
